cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
159,86.37,-6.55,-1.06,0.7905,0.8628,0.8543,#c9dcd9,189.2,21
160,82.08,-4.48,1.03,0.7685,0.8104,0.7922,#c3ceca,167.0,116
161,77.11,-9.89,-0.27,0.6658,0.7683,0.7471,#a9c3be,181.6,16
162,77.19,-8.28,-7.78,0.6491,0.768,0.8023,#a5c3cc,223.2,9
163,84.02,0.09,6.95,0.8449,0.8195,0.7707,#d7d0c4,89.3,1115
164,88.35,-3.02,3.22,0.8565,0.8754,0.845,#dadfd7,133.2,52
165,87.53,0.34,4.57,0.8781,0.8581,0.8264,#dfdad2,85.7,1193
166,92.25,0.06,-0.14,0.9126,0.9126,0.9136,#e8e8e8,292.8,417
167,85.65,-2.17,-2.06,0.8149,0.8452,0.8542,#cfd7d9,223.5,71
168,87.86,0.17,-0.41,0.8638,0.8636,0.8669,#dcdcdd,292.1,3376
169,87.68,4.66,1.81,0.9039,0.8501,0.849,#e6d8d8,21.2,107
170,86.71,8.12,-3.15,0.9031,0.8323,0.8753,#e6d4df,338.8,381
171,81.05,9.01,1.92,0.8626,0.7668,0.7764,#dbc3c5,12.0,166
172,69.69,7.42,1.24,0.7253,0.6499,0.6597,#b8a5a8,9.5,70
173,73.47,6.87,3.37,0.7684,0.6904,0.6845,#c3b0ae,26.1,77
174,77.92,7.12,8.74,0.8338,0.7359,0.6933,#d4bbb0,50.9,43
175,78.35,7.53,2.13,0.8228,0.7413,0.7455,#d1bdbe,15.8,54
176,82.11,13.7,2.53,0.9096,0.7661,0.7842,#e7c3c7,10.5,183
177,77.39,16.67,-5.02,0.8556,0.7097,0.7877,#dab4c8,343.2,20
178,82.77,11.27,-3.08,0.8828,0.7812,0.8318,#e1c7d4,344.7,222
179,75.91,7.21,-5.8,0.7685,0.7183,0.776,#c3b7c5,321.2,103
180,74.56,12.0,-4.74,0.7924,0.6917,0.7546,#cab0c0,338.4,20
181,73.64,10.42,-11.49,0.748,0.6881,0.7923,#beafca,312.2,102
182,78.67,9.47,-10.59,0.7987,0.7438,0.8408,#cbbdd6,311.8,256
183,81.26,6.69,-7.2,0.818,0.7776,0.8445,#d0c6d7,312.9,177
184,62.96,0.51,0.39,0.6023,0.596,0.5946,#999797,37.4,208
185,64.43,1.7,6.18,0.6434,0.6071,0.5699,#a49a91,74.6,149
186,61.29,4.03,2.86,0.6175,0.5703,0.561,#9d918f,35.3,52
187,60.6,3.6,9.16,0.6242,0.5627,0.5108,#9f8f82,68.6,389
188,58.33,-0.12,0.19,0.5496,0.55,0.5485,#8c8c8b,121.8,162
189,59.83,0.9,-5.88,0.5517,0.5648,0.6053,#8c909a,278.7,78
190,55.49,5.71,2.75,0.5687,0.5077,0.5033,#918180,25.7,26
191,54.69,1.28,-0.4,0.5209,0.5104,0.5158,#848283,342.8,35
192,57.9,6.83,-22.94,0.5071,0.5375,0.702,#8189b3,286.6,46
193,65.08,7.75,-22.02,0.5934,0.6086,0.773,#979bc5,289.4,83
194,64.27,1.85,-17.18,0.5585,0.6121,0.7301,#8e9cba,276.1,75
195,62.51,10.18,-11.02,0.6297,0.5724,0.6696,#a091aa,312.7,18
196,66.23,14.68,-17.14,0.6794,0.6015,0.7522,#ad99bf,310.6,16
197,62.84,19.28,-28.92,0.6298,0.5593,0.7978,#a08ecb,303.7,1
198,73.48,-1.6,-14.33,0.6385,0.7156,0.8094,#a2b6ce,263.6,64
199,70.89,0.31,-21.3,0.594,0.6862,0.8307,#97aed3,270.8,47
200,68.44,-0.89,-13.84,0.5939,0.6606,0.7514,#97a8bf,266.3,78
201,70.86,5.39,-17.18,0.6567,0.6729,0.8018,#a7abcc,287.4,42
